ID,DetailNumber,LoadNumber,LotNumber,ShipmentLineID,ReceiptKey,ClientID,WarehouseID,SiteID,ProductID,InventoryStatusID,StorageLocationID,AssetTypeID,HoldFlagBool,UnitQTY,Weight,Volume,Category,Supplier,Status,Priority,ManufacturedDateTime,ExpirationDateTime,ReceivedDateTime,AddedDateTime,LastMoveDateTime,Created,isDeleted,Modified
1.0,8270.0,6330.0,1721.0,3379.0,8616.0,464.0,,68.0,1543.0,34.0,7306.0,,0.0,169.0,897.558409886164,2.7919669115657966,Electronics,SupplierB,Shipped,Low,2021-02-27,2021-03-31,2021-02-17,2022-01-31,2021-09-07 13:49:23,2020-01-01 09:38:25,False,2021-09-07 13:49:23
2.0,1860.0,6510.0,8678.0,9879.0,1256.0,676.0,53.0,90.0,4900.0,,6072.0,2795.0,0.0,333.0,610.1530838991386,1.6612523795444534,Clothing,SupplierA,Delivered,,2022-04-12,2023-03-17,2021-10-22,2020-09-07,2021-01-06 00:00:00,2020-01-01 09:00:31,False,2022-03-19 08:04:51
3.0,6390.0,9754.0,4357.0,5752.0,1671.0,,69.0,12.0,5224.0,23.0,2355.0,7539.0,0.0,393.0,498.2672570007528,4.544024589387014,Electronics,SupplierB,Shipped,Medium,2021-01-23,2021-01-10,2020-09-22,2022-02-02,2020-05-20 00:00:00,2020-01-01 05:07:39,False,2024-01-23 04:10:11
4.0,6191.0,9964.0,1870.0,6495.0,1489.0,680.0,18.0,49.0,3866.0,87.0,2687.0,9540.0,0.0,198.0,712.8396881493003,2.1744601241410724,Food,SupplierA,Shipped,High,2022-07-14,2021-07-06,2020-09-07,2022-06-14,2021-07-12 00:00:00,2020-01-01 04:20:43,False,2022-12-28 15:59:59
5.0,6734.0,7493.0,7751.0,4209.0,7889.0,732.0,11.0,98.0,3246.0,75.0,9541.0,7214.0,1.0,347.0,608.8532502222023,8.984943050815408,Furniture,,Shipped,High,2020-04-26,2022-06-21,2020-06-24,2022-06-01,2021-08-20 00:00:00,2020-01-01 00:49:42,False,2022-10-11 18:35:25
6.0,7265.0,6439.0,1497.0,8398.0,3096.0,720.0,65.0,,2836.0,63.0,5350.0,9588.0,1.0,106.0,983.6750063478136,3.0361296582703288,Electronics,SupplierA,Delivered,,2021-04-10,2021-03-29,2021-10-05,2021-08-20,2020-10-19 00:00:00,2020-01-01 06:39:59,False,2023-03-04 00:33:14
7.0,1466.0,7511.0,2756.0,7743.0,2682.0,927.0,39.0,,9268.0,86.0,7501.0,7145.0,,101.0,190.08879216420326,5.974020955393211,Furniture,SupplierC,Shipped,High,2021-03-04,2023-06-08,2020-04-10,2021-02-21,2021-08-31 21:20:43,2020-01-01 04:21:39,False,2021-08-31 21:20:43
8.0,5426.0,8504.0,2117.0,6648.0,3460.0,346.0,31.0,18.0,9560.0,76.0,7086.0,3609.0,0.0,359.0,449.0447262464816,2.634418405452039,Electronics,,Pending,Medium,2022-05-18,2023-03-08,2020-05-05,2022-09-05,2020-07-23 00:00:00,2020-01-01 07:51:01,False,2023-01-21 00:50:37
9.0,6578.0,2246.0,3828.0,6171.0,5529.0,533.0,84.0,93.0,7976.0,39.0,5208.0,9337.0,0.0,235.0,918.2405022855537,2.5801926272476647,Electronics,SupplierA,Pending,,2021-03-17,2021-07-07,2022-01-03,2022-01-21,2021-09-30 00:00:00,2020-01-01 10:00:00,False,2024-03-11 11:29:14
10.0,9322.0,4839.0,2647.0,8890.0,,192.0,90.0,30.0,1348.0,,7667.0,3226.0,0.0,280.0,914.7370599085243,3.5063608147840784,Clothing,SupplierC,Shipped,High,2020-02-08,2021-11-09,2020-02-03,2020-12-07,2021-02-01 12:39:29,2020-01-01 21:09:56,False,2021-02-01 12:39:29
